smiles,id,MW,LogP,HBD,HBA,PSA,pIC50
COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CHEMBL116438,368.3850000000001,3.852600000000003,6.0,3.0,96.22000000000001,4.628932137728263
O=C(O)c1ccc(/C=C2\C(=O)N(c3ccccc3)N=C2c2ccccc2)cc1,CHEMBL1277944,368.39200000000005,4.219300000000003,3.0,1.0,69.97,4.7447274948966935
O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(Cl)cc3)N=C2c2ccccc2)cc1,CHEMBL1278125,402.83700000000005,4.872700000000004,3.0,1.0,69.97,4.856985199745905
COc1ccc(N2N=C(c3ccccc3)/C(=C/c3ccc(C(=O)O)cc3)C2=O)cc1,CHEMBL1276871,398.4180000000002,4.227900000000003,4.0,1.0,79.19999999999999,4.920818753952375
N#Cc1ccc(N2N=C(c3ccccc3)/C(=C/c3ccc(C(=O)O)cc3)C2=O)cc1,CHEMBL1277046,393.40200000000016,4.090980000000004,4.0,1.0,93.75999999999999,5.259637310505756
O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(OC(F)(F)F)cc3)N=C2c2ccccc2)cc1,CHEMBL1277047,452.38800000000003,5.117900000000003,4.0,1.0,79.2,4.376750709602099
O=C(O)c1ccc(/C=C2\C(=O)N(c3cccc(Cl)c3)N=C2c2ccccc2)cc1,CHEMBL1277135,402.83700000000005,4.872700000000004,3.0,1.0,69.97,4.966576244513051
O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(Cl)c(Cl)c3)N=C2c2ccccc2)cc1,CHEMBL1277136,437.2820000000001,5.526100000000005,3.0,1.0,69.97,4.614393726401688
O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(F)cc3)N=C2c2ccccc2)cc1,CHEMBL1277227,386.38200000000006,4.358400000000003,3.0,1.0,69.97,5.167491087293763
O=C(O)c1ccc(/C=C2\C(=O)N(c3cccc([N+](=O)[O-])c3)N=C2c2ccccc2)cc1,CHEMBL1277228,413.38900000000007,4.127500000000002,5.0,1.0,113.11,5.075720713938118
CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CO)[C@@H]1CC2,CHEMBL197310,302.45799999999997,4.518200000000004,2.0,2.0,40.46,3.6560009309428385
CC(C)c1cc2c(cc1O)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC2,CHEMBL1277661,302.458,4.516600000000004,2.0,2.0,40.46,3.6318991482906484
CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,CHEMBL197308,286.459,5.545800000000005,1.0,1.0,20.23,4.304518323509803
CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(C=O)[C@@H]1CC2,CHEMBL1277662,300.442,4.7248000000000046,2.0,1.0,37.3,3.7872798455821575
CC(=O)Oc1cc2c(cc1C(C)C)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CO,CHEMBL1277754,344.4950000000002,4.737900000000005,3.0,1.0,46.53,3.889747082646597
